"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"17-3013","17-3013","1545","17-3013.00","Mechanical Drafters","Mechanical Drafters","Drafters","1540","Mechanical Drafters","Other drafters","17-3013.00","Mechanical Drafters","STEM","Yes","Yes","STW"
"17-3019","17-3019","1545","17-3019.00","Drafters, All Other","Drafters, All Other","Drafters","1540","Drafters, All Other","Other drafters","17-3019.00","Drafters, All Other","STEM",NA,NA,NA
"17-3021","17-3021","1555","17-3021.00","Aerospace Engineering and Operations Technicians","Aerospace Engineering and Operations Technicians","Engineering technicians, except drafters","1550","Aerospace Engineering and Operations Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3021.00","Aerospace Engineering and Operations Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3022","17-3022","1555","17-3022.00","Civil Engineering Technicians","Civil Engineering Technicians","Engineering technicians, except drafters","1550","Civil Engineering Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3022.00","Civil Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3023","17-3023","1551","17-3023.01","Electronics Engineering Technicians","Electrical and Electronic Engineering Technicians","Engineering technicians, except drafters","1550","Electrical and Electronic Engineering Technologists and Technicians","Electrical and electronic engineering technologists and technicians","17-3023.00","Electrical and Electronic Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3023","17-3023","1551","17-3023.03","Electrical Engineering Technicians","Electrical and Electronic Engineering Technicians","Engineering technicians, except drafters","1550","Electrical and Electronic Engineering Technologists and Technicians","Electrical and electronic engineering technologists and technicians","17-3023.00","Electrical and Electronic Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3023","17-3023","1551","17-3023.00","Electrical and Electronic Engineering Technicians","Electrical and Electronic Engineering Technicians","Engineering technicians, except drafters","1550","Electrical and Electronic Engineering Technologists and Technicians","Electrical and electronic engineering technologists and technicians","17-3023.00","Electrical and Electronic Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3024","17-3024","1555","17-3024.01","Robotics Technicians","Electro-Mechanical Technicians","Engineering technicians, except drafters","1550","Electro-Mechanical and Mechatronics Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3024.01","Robotics Technicians","STEM","Yes","Yes","STW"
"17-3024","17-3024","1555","17-3024.00","Electro-Mechanical Technicians","Electro-Mechanical Technicians","Engineering technicians, except drafters","1550","Electro-Mechanical and Mechatronics Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3024.00","Electro-Mechanical and Mechatronics Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3025","17-3025","1555","17-3025.00","Environmental Engineering Technicians","Environmental Engineering Technicians","Engineering technicians, except drafters","1550","Environmental Engineering Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3025.00","Environmental Engineering Technologists and Technicians","STEM","No","Yes","Non-STW"
"17-3026","17-3026","1555","17-3026.00","Industrial Engineering Technicians","Industrial Engineering Technicians","Engineering technicians, except drafters","1550","Industrial Engineering Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3026.00","Industrial Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3027","17-3027","1555","17-3027.01","Automotive Engineering Technicians","Mechanical Engineering Technicians","Engineering technicians, except drafters","1550","Mechanical Engineering Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3027.01","Automotive Engineering Technicians","STEM","Yes","Yes","STW"
"17-3027","17-3027","1555","17-3027.00","Mechanical Engineering Technicians","Mechanical Engineering Technicians","Engineering technicians, except drafters","1550","Mechanical Engineering Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3027.00","Mechanical Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.09","Manufacturing Production Technicians","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3026.00","Industrial Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3027","1555","17-3029.07","Mechanical Engineering Technologists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Mechanical Engineering Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3027.00","Mechanical Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3028","1555","17-3029.00","Engineering Technicians, Except Drafters, All Other","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Calibration Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3029.00","Engineering Technologists and Technicians, Except Drafters, All Other","STEM","Yes","Yes","STW"
"17-3029","17-3023","1551","17-3029.04","Electronics Engineering Technologists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Electrical and Electronic Engineering Technologists and Technicians","Electrical and electronic engineering technologists and technicians","17-3023.00","Electrical and Electronic Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.08","Photonics Technicians","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3029.08","Photonics Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3023","1551","17-3029.02","Electrical Engineering Technologists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Electrical and Electronic Engineering Technologists and Technicians","Electrical and electronic engineering technologists and technicians","17-3023.00","Electrical and Electronic Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.11","Nanotechnology Engineering Technologists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3026.01","Nanotechnology Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3024","1555","17-3029.03","Electromechanical Engineering Technologists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Electro-Mechanical and Mechatronics Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3024.00","Electro-Mechanical and Mechatronics Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.01","Non-Destructive Testing Specialists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3029.01","Non-Destructive Testing Specialists","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.00","Engineering Technicians, Except Drafters, All Other","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3029.00","Engineering Technologists and Technicians, Except Drafters, All Other","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.06","Manufacturing Engineering Technologists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3026.00","Industrial Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.10","Fuel Cell Technicians","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3029.00","Engineering Technologists and Technicians, Except Drafters, All Other","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.12","Nanotechnology Engineering Technicians","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3026.01","Nanotechnology Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3026","1555","17-3029.05","Industrial Engineering Technologists","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Industrial Engineering Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3026.00","Industrial Engineering Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3028","1555","17-3029.00","Engineering Technicians, Except Drafters, All Other","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Calibration Technologists and Technicians","Other engineering technologists and technicians, except drafters","17-3028.00","Calibration Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3029","17-3029","1555","17-3029.00","Engineering Technicians, Except Drafters, All Other","Engineering Technicians, Except Drafters, All Other","Engineering technicians, except drafters","1550","Engineering Technologists and Technicians, Except Drafters, All Other","Other engineering technologists and technicians, except drafters","17-3028.00","Calibration Technologists and Technicians","STEM","Yes","Yes","STW"
"17-3031","17-3031","1560","17-3031.00","Surveying and Mapping Technicians","Surveying and Mapping Technicians","Surveying and mapping technicians","1560","Surveying and Mapping Technicians","Surveying and mapping technicians","17-3031.00","Surveying and Mapping Technicians","STEM","Yes","Yes","STW"
"17-3031","17-3031","1560","17-3031.01","Surveying Technicians","Surveying and Mapping Technicians","Surveying and mapping technicians","1560","Surveying and Mapping Technicians","Surveying and mapping technicians","17-3031.00","Surveying and Mapping Technicians","STEM","Yes","Yes","STW"
"17-3031","17-3031","1560","17-3031.02","Mapping Technicians","Surveying and Mapping Technicians","Surveying and mapping technicians","1560","Surveying and Mapping Technicians","Surveying and mapping technicians","17-3031.00","Surveying and Mapping Technicians","STEM","Yes","Yes","STW"
"19-1011","19-1011","1600","19-1011.00","Animal Scientists","Animal Scientists","Agricultural and food scientists","1600","Animal Scientists","Agricultural and food scientists","19-1011.00","Animal Scientists","STEM","No","Yes","Non-STW"
"19-1012","19-1012","1600","19-1012.00","Food Scientists and Technologists","Food Scientists and Technologists","Agricultural and food scientists","1600","Food Scientists and Technologists","Agricultural and food scientists","19-1012.00","Food Scientists and Technologists","STEM","No","Yes","Non-STW"
"19-1013","19-1013","1600","19-1013.00","Soil and Plant Scientists","Soil and Plant Scientists","Agricultural and food scientists","1600","Soil and Plant Scientists","Agricultural and food scientists","19-1013.00","Soil and Plant Scientists","STEM","No","Yes","Non-STW"
"19-1020","19-1020","1610","19-1020.01","Biologists","Biological Scientists","Biological scientists","1610","Biological Scientists","Biological scientists","19-1029.04","Biologists","STEM","No","Yes","Non-STW"
"19-1021","19-1021","1610","19-1021.00","Biochemists and Biophysicists","Biochemists and Biophysicists","Biological scientists","1610","Biochemists and Biophysicists","Biological scientists","19-1021.00","Biochemists and Biophysicists","STEM","No","Yes","Non-STW"
"19-1022","19-1022","1610","19-1022.00","Microbiologists","Microbiologists","Biological scientists","1610","Microbiologists","Biological scientists","19-1022.00","Microbiologists","STEM","No","Yes","Non-STW"
"19-1023","19-1023","1610","19-1023.00","Zoologists and Wildlife Biologists","Zoologists and Wildlife Biologists","Biological scientists","1610","Zoologists and Wildlife Biologists","Biological scientists","19-1023.00","Zoologists and Wildlife Biologists","STEM","No","Yes","Non-STW"
"19-1029","19-1029","1610","19-1029.00","Biological Scientists, All Other","Biological Scientists, All Other","Biological scientists","1610","Biological Scientists, All Other","Biological scientists","19-1029.00","Biological Scientists, All Other","STEM","No","Yes","Non-STW"
"19-1029","19-1029","1610","19-1029.01","Bioinformatics Scientists","Biological Scientists, All Other","Biological scientists","1610","Biological Scientists, All Other","Biological scientists","19-1029.01","Bioinformatics Scientists","STEM","No","Yes","Non-STW"
"19-1029","19-1029","1610","19-1029.03","Geneticists","Biological Scientists, All Other","Biological scientists","1610","Biological Scientists, All Other","Biological scientists","19-1029.03","Geneticists","STEM","No","Yes","Non-STW"
"19-1029","19-1029","1610","19-1029.02","Molecular and Cellular Biologists","Biological Scientists, All Other","Biological scientists","1610","Biological Scientists, All Other","Biological scientists","19-1029.02","Molecular and Cellular Biologists","STEM","No","Yes","Non-STW"
"19-1031","19-1031","1640","19-1031.00","Conservation Scientists","Conservation Scientists","Conservation scientists and foresters","1640","Conservation Scientists","Conservation scientists and foresters","19-1031.00","Conservation Scientists","STEM","No","No","Non-STW"
"19-1031","19-1031","1640","19-1031.01","Soil and Water Conservationists","Conservation Scientists","Conservation scientists and foresters","1640","Conservation Scientists","Conservation scientists and foresters","19-1031.00","Conservation Scientists","STEM","No","No","Non-STW"
"19-1031","19-1031","1640","19-1031.02","Range Managers","Conservation Scientists","Conservation scientists and foresters","1640","Conservation Scientists","Conservation scientists and foresters","19-1031.02","Range Managers","STEM","No","No","Non-STW"
"19-1031","19-1031","1640","19-1031.03","Park Naturalists","Conservation Scientists","Conservation scientists and foresters","1640","Conservation Scientists","Conservation scientists and foresters","19-1031.03","Park Naturalists","STEM","No","No","Non-STW"
"19-1032","19-1032","1640","19-1032.00","Foresters","Foresters","Conservation scientists and foresters","1640","Foresters","Conservation scientists and foresters","19-1032.00","Foresters","STEM","No","No","Non-STW"
"19-1041","19-1041","1650","19-1041.00","Epidemiologists","Epidemiologists","Medical scientists","1650","Epidemiologists","Medical scientists","19-1041.00","Epidemiologists","STEM","No","Yes","Non-STW"
"19-1042","19-1042","1650","19-1042.00","Medical Scientists, Except Epidemiologists","Medical Scientists, Except Epidemiologists","Medical scientists","1650","Medical Scientists, Except Epidemiologists","Medical scientists","19-1042.00","Medical Scientists, Except Epidemiologists","STEM","No","Yes","Non-STW"
"19-1099","19-1099","1660","19-1099.00","Life Scientists, All Other","Life Scientists, All Other","Life scientists, all other","1660","Life Scientists, All Other","Life scientists, all other","19-1099.00","Life Scientists, All Other","STEM",NA,NA,NA
"19-2011","19-2011","1700","19-2011.00","Astronomers","Astronomers","Astronomers and physicists","1700","Astronomers","Astronomers and physicists","19-2011.00","Astronomers","STEM","No","Yes","Non-STW"
"19-2012","19-2012","1700","19-2012.00","Physicists","Physicists","Astronomers and physicists","1700","Physicists","Astronomers and physicists","19-2012.00","Physicists","STEM","No","Yes","Non-STW"
"19-2021","19-2021","1710","19-2021.00","Atmospheric and Space Scientists","Atmospheric and Space Scientists","Atmospheric and space scientists","1710","Atmospheric and Space Scientists","Atmospheric and space scientists","19-2021.00","Atmospheric and Space Scientists","STEM","No","Yes","Non-STW"
"19-2031","19-2031","1720","19-2031.00","Chemists","Chemists","Chemists and materials scientists","1720","Chemists","Chemists and materials scientists","19-2031.00","Chemists","STEM","No","Yes","Non-STW"
"19-2032","19-2032","1720","19-2032.00","Materials Scientists","Materials Scientists","Chemists and materials scientists","1720","Materials Scientists","Chemists and materials scientists","19-2032.00","Materials Scientists","STEM","No","Yes","Non-STW"
"19-2041","19-2041","1745","19-2041.02","Environmental Restoration Planners","Environmental Scientists and Specialists, Including Health","Environmental scientists and geoscientists","1740","Environmental Scientists and Specialists, Including Health","Environmental scientists and specialists, including health","19-2041.02","Environmental Restoration Planners","STEM","No","Yes","Non-STW"
"19-2041","19-2041","1745","19-2041.00","Environmental Scientists and Specialists, Including Health","Environmental Scientists and Specialists, Including Health","Environmental scientists and geoscientists","1740","Environmental Scientists and Specialists, Including Health","Environmental scientists and specialists, including health","19-2041.00","Environmental Scientists and Specialists, Including Health","STEM","No","Yes","Non-STW"
"19-2041","19-2041","1745","19-2041.03","Industrial Ecologists","Environmental Scientists and Specialists, Including Health","Environmental scientists and geoscientists","1740","Environmental Scientists and Specialists, Including Health","Environmental scientists and specialists, including health","19-2041.03","Industrial Ecologists","STEM","No","Yes","Non-STW"
"19-2041","19-2041","1745","19-2041.01","Climate Change Analysts","Environmental Scientists and Specialists, Including Health","Environmental scientists and geoscientists","1740","Environmental Scientists and Specialists, Including Health","Environmental scientists and specialists, including health","19-2041.01","Climate Change Policy Analysts","STEM","No","Yes","Non-STW"
"19-2042","19-2042","1750","19-2042.00","Geoscientists, Except Hydrologists and Geographers","Geoscientists, Except Hydrologists and Geographers","Environmental scientists and geoscientists","1740","Geoscientists, Except Hydrologists and Geographers","Geoscientists and hydrologists, except geographers","19-2042.00","Geoscientists, Except Hydrologists and Geographers","STEM","No","Yes","Non-STW"
"19-2043","19-2043","1750","19-2043.00","Hydrologists","Hydrologists","Environmental scientists and geoscientists","1740","Hydrologists","Geoscientists and hydrologists, except geographers","19-2043.00","Hydrologists","STEM","No","Yes","Non-STW"
"19-2099","19-2099","1760","19-2099.01","Remote Sensing Scientists and Technologists","Physical Scientists, All Other","Physical scientists, all other","1760","Physical Scientists, All Other","Physical scientists, all other","19-2099.01","Remote Sensing Scientists and Technologists","STEM","No","Yes","Non-STW"
"19-2099","19-2099","1760","19-2099.00","Physical Scientists, All Other","Physical Scientists, All Other","Physical scientists, all other","1760","Physical Scientists, All Other","Physical scientists, all other","19-2099.00","Physical Scientists, All Other","STEM","No","Yes","Non-STW"
"19-3011","19-3011","1800","19-3011.01","Environmental Economists","Economists","Economists","1800","Economists","Economists","19-3011.01","Environmental Economists","STEM","No","Yes","Non-STW"
"19-3011","19-3011","1800","19-3011.00","Economists","Economists","Economists","1800","Economists","Economists","19-3011.00","Economists","STEM","No","Yes","Non-STW"
"19-3022","19-3022","1815","19-3022.00","Survey Researchers","Survey Researchers","Survey researchers","1815","Survey Researchers","Survey researchers","19-3022.00","Survey Researchers","STEM","No","Yes","Non-STW"
"19-3031","19-3033","1821","19-3031.00","Clinical, Counseling, and School Psychologists","Clinical, Counseling, and School Psychologists","Psychologists","1820","Clinical and Counseling Psychologists","Clinical and counseling psychologists","19-3033.00","Clinical and Counseling Psychologists","STEM","No","No","Non-STW"
"19-3031","19-3034","1822","19-3031.00","Clinical, Counseling, and School Psychologists","Clinical, Counseling, and School Psychologists","Psychologists","1820","School Psychologists","School psychologists","19-3033.00","Clinical and Counseling Psychologists","STEM","No","No","Non-STW"
"19-3031","19-3033","1821","19-3031.02","Clinical Psychologists","Clinical, Counseling, and School Psychologists","Psychologists","1820","Clinical and Counseling Psychologists","Clinical and counseling psychologists","19-3033.00","Clinical and Counseling Psychologists","STEM","No","No","Non-STW"
"19-3031","19-3033","1821","19-3031.03","Counseling Psychologists","Clinical, Counseling, and School Psychologists","Psychologists","1820","Clinical and Counseling Psychologists","Clinical and counseling psychologists","19-3033.00","Clinical and Counseling Psychologists","STEM","No","No","Non-STW"
"19-3031","19-3034","1822","19-3031.01","School Psychologists","Clinical, Counseling, and School Psychologists","Psychologists","1820","School Psychologists","School psychologists","19-3034.00","School Psychologists","STEM","No","No","Non-STW"
"19-3032","19-3032","1825","19-3032.00","Industrial-Organizational Psychologists","Industrial-Organizational Psychologists","Psychologists","1820","Industrial-Organizational Psychologists","Other psychologists","19-3032.00","Industrial-Organizational Psychologists","STEM","No","Yes","Non-STW"
"19-3039","19-3039","1825","19-3039.01","Neuropsychologists and Clinical Neuropsychologists","Psychologists, All Other","Psychologists","1820","Psychologists, All Other","Other psychologists","19-3039.02","Neuropsychologists","STEM","No","Yes","Non-STW"
"19-3039","19-3039","1825","19-3039.00","Psychologists, All Other","Psychologists, All Other","Psychologists","1820","Psychologists, All Other","Other psychologists","19-3039.00","Psychologists, All Other","STEM","No","Yes","Non-STW"
"19-3039","19-3039","1825","19-3039.01","Neuropsychologists and Clinical Neuropsychologists","Psychologists, All Other","Psychologists","1820","Psychologists, All Other","Other psychologists","19-3039.03","Clinical Neuropsychologists","STEM","No","Yes","Non-STW"
"19-3041","19-3041","1830","19-3041.00","Sociologists","Sociologists","Sociologists","1830","Sociologists","Sociologists","19-3041.00","Sociologists","STEM","No","Yes","Non-STW"
"19-3051","19-3051","1840","19-3051.00","Urban and Regional Planners","Urban and Regional Planners","Urban and regional planners","1840","Urban and Regional Planners","Urban and regional planners","19-3051.00","Urban and Regional Planners","STEM","No","No","Non-STW"
"19-3091","19-3091","1860","19-3091.01","Anthropologists","Anthropologists and Archeologists","Miscellaneous social scientists and related workers","1860","Anthropologists and Archeologists","Miscellaneous social scientists and related workers","19-3091.00","Anthropologists and Archeologists","STEM","No","No","Non-STW"
"19-3091","19-3091","1860","19-3091.00","Anthropologists and Archeologists","Anthropologists and Archeologists","Miscellaneous social scientists and related workers","1860","Anthropologists and Archeologists","Miscellaneous social scientists and related workers","19-3091.00","Anthropologists and Archeologists","STEM","No","No","Non-STW"
"19-3091","19-3091","1860","19-3091.02","Archeologists","Anthropologists and Archeologists","Miscellaneous social scientists and related workers","1860","Anthropologists and Archeologists","Miscellaneous social scientists and related workers","19-3091.00","Anthropologists and Archeologists","STEM","No","No","Non-STW"
"19-3092","19-3092","1860","19-3092.00","Geographers","Geographers","Miscellaneous social scientists and related workers","1860","Geographers","Miscellaneous social scientists and related workers","19-3092.00","Geographers","STEM","No","Yes","Non-STW"
"19-3093","19-3093","1860","19-3093.00","Historians","Historians","Miscellaneous social scientists and related workers","1860","Historians","Miscellaneous social scientists and related workers","19-3093.00","Historians","STEM","Yes","No","Non-STW"
"19-3094","19-3094","1860","19-3094.00","Political Scientists","Political Scientists","Miscellaneous social scientists and related workers","1860","Political Scientists","Miscellaneous social scientists and related workers","19-3094.00","Political Scientists","STEM","No","Yes","Non-STW"
"19-3099","19-3099","1860","19-3099.00","Social Scientists and Related Workers, All Other","Social Scientists and Related Workers, All Other","Miscellaneous social scientists and related workers","1860","Social Scientists and Related Workers, All Other","Miscellaneous social scientists and related workers","19-3099.00","Social Scientists and Related Workers, All Other","STEM","No","Yes","Non-STW"
"19-3099","19-3099","1860","19-3099.01","Transportation Planners","Social Scientists and Related Workers, All Other","Miscellaneous social scientists and related workers","1860","Social Scientists and Related Workers, All Other","Miscellaneous social scientists and related workers","19-3099.01","Transportation Planners","STEM","No","Yes","Non-STW"
"19-4011","19-4013","1900","19-4011.02","Food Science Technicians","Agricultural and Food Science Technicians","Agricultural and food science technicians","1900","Food Science Technicians","Agricultural and food science technicians","19-4013.00","Food Science Technicians","STEM","No","No","Non-STW"
"19-4011","19-4013","1900","19-4011.00","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians","Agricultural and food science technicians","1900","Food Science Technicians","Agricultural and food science technicians","19-4012.00","Agricultural Technicians","STEM","No","No","Non-STW"
"19-4011","19-4012","1900","19-4011.00","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians","Agricultural and food science technicians","1900","Agricultural Technicians","Agricultural and food science technicians","19-4013.00","Food Science Technicians","STEM","No","No","Non-STW"
"19-4011","19-4013","1900","19-4011.00","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians","Agricultural and food science technicians","1900","Food Science Technicians","Agricultural and food science technicians","19-4013.00","Food Science Technicians","STEM","No","No","Non-STW"
"19-4011","19-4012","1900","19-4011.00","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians","Agricultural and food science technicians","1900","Agricultural Technicians","Agricultural and food science technicians","19-4012.00","Agricultural Technicians","STEM","No","No","Non-STW"
"19-4011","19-4012","1900","19-4011.01","Agricultural Technicians","Agricultural and Food Science Technicians","Agricultural and food science technicians","1900","Agricultural Technicians","Agricultural and food science technicians","19-4012.00","Agricultural Technicians","STEM","No","No","Non-STW"
"19-4021","19-4021","1910","19-4021.00","Biological Technicians","Biological Technicians","Biological technicians","1910","Biological Technicians","Biological technicians","19-4021.00","Biological Technicians","STEM","No","Yes","Non-STW"
"19-4031","19-4031","1920","19-4031.00","Chemical Technicians","Chemical Technicians","Chemical technicians","1920","Chemical Technicians","Chemical technicians","19-4031.00","Chemical Technicians","STEM","Yes","Yes","STW"
"19-4041","19-4043","1935","19-4041.00","Geological and Petroleum Technicians","Geological and Petroleum Technicians","Geological and petroleum technicians","1930","Geological Technicians, Except Hydrologic Technicians","Environmental  science and geoscience technicians","19-4043.00","Geological Technicians, Except Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4041","19-4043","1935","19-4041.00","Geological and Petroleum Technicians","Geological and Petroleum Technicians","Geological and petroleum technicians","1930","Geological Technicians, Except Hydrologic Technicians","Environmental  science and geoscience technicians","19-4044.00","Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4041","19-4043","1935","19-4041.01","Geophysical Data Technicians","Geological and Petroleum Technicians","Geological and petroleum technicians","1930","Geological Technicians, Except Hydrologic Technicians","Environmental  science and geoscience technicians","19-4043.00","Geological Technicians, Except Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4041","19-4044","1935","19-4041.00","Geological and Petroleum Technicians","Geological and Petroleum Technicians","Geological and petroleum technicians","1930","Hydrologic Technicians","Environmental  science and geoscience technicians","19-4044.00","Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4041","19-4044","1935","19-4041.00","Geological and Petroleum Technicians","Geological and Petroleum Technicians","Geological and petroleum technicians","1930","Hydrologic Technicians","Environmental  science and geoscience technicians","19-4043.00","Geological Technicians, Except Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4041","19-4043","1935","19-4041.02","Geological Sample Test Technicians","Geological and Petroleum Technicians","Geological and petroleum technicians","1930","Geological Technicians, Except Hydrologic Technicians","Environmental  science and geoscience technicians","19-4043.00","Geological Technicians, Except Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4051","19-4051","1940","19-4051.01","Nuclear Equipment Operation Technicians","Nuclear Technicians","Nuclear technicians","1940","Nuclear Technicians","Nuclear technicians","19-4051.00","Nuclear Technicians","STEM","Yes","No","Non-STW"
"19-4051","19-4051","1940","19-4051.02","Nuclear Monitoring Technicians","Nuclear Technicians","Nuclear technicians","1940","Nuclear Technicians","Nuclear technicians","19-4051.02","Nuclear Monitoring Technicians","STEM","Yes","No","Non-STW"
"19-4051","19-4051","1940","19-4051.00","Nuclear Technicians","Nuclear Technicians","Nuclear technicians","1940","Nuclear Technicians","Nuclear technicians","19-4051.00","Nuclear Technicians","STEM","Yes","No","Non-STW"
"19-4061","19-4061","1950","19-4061.00","Social Science Research Assistants","Social Science Research Assistants","Social science research assistants","1950","Social Science Research Assistants","Social science research assistants","19-4061.00","Social Science Research Assistants","STEM","No","No","Non-STW"
"19-4061","19-4061","1950","19-4061.01","City and Regional Planning Aides","Social Science Research Assistants","Social science research assistants","1950","Social Science Research Assistants","Social science research assistants","19-3051.00","Urban and Regional Planners","STEM","No","No","Non-STW"
"19-4091","19-4042","1935","19-4091.00","Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health","Miscellaneous life, physical, and social science technicians","1965","Environmental Science and Protection Technicians, Including Health","Environmental  science and geoscience technicians","19-4042.00","Environmental Science and Protection Technicians, Including Health","STEM","No","Yes","Non-STW"
"19-4092","19-4092","1970","19-4092.00","Forensic Science Technicians","Forensic Science Technicians","Miscellaneous life, physical, and social science technicians","1965","Forensic Science Technicians","Other life, physical, and social science technicians","19-4092.00","Forensic Science Technicians","STEM","Yes","No","Non-STW"
"19-4093","19-4071","1970","19-4093.00","Forest and Conservation Technicians","Forest and Conservation Technicians","Miscellaneous life, physical, and social science technicians","1965","Forest and Conservation Technicians","Other life, physical, and social science technicians","19-4071.00","Forest and Conservation Technicians","STEM","Yes","No","Non-STW"
"19-4099","19-4099","1970","19-4099.00","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other","Miscellaneous life, physical, and social science technicians","1965","Life, Physical, and Social Science Technicians, All Other","Other life, physical, and social science technicians","19-4099.00","Life, Physical, and Social Science Technicians, All Other","STEM","No","Yes","Non-STW"
"19-4099","19-4099","1970","19-4099.01","Quality Control Analysts","Life, Physical, and Social Science Technicians, All Other","Miscellaneous life, physical, and social science technicians","1965","Life, Physical, and Social Science Technicians, All Other","Other life, physical, and social science technicians","19-4099.01","Quality Control Analysts","STEM","No","Yes","Non-STW"
